1988, 1989-10-15, RU
1989, 1990-10-15, NP
1990, 1991-10-15, NP
1991, 1992-10-15, RU
1992, 1993-10-15, RU
1993, 1994-10-15, NP
1994, 1995-10-15, TP
1995, 1996-10-15, RU
1996, 1997-10-15, RU
1997, 1998-10-15, RU
1998, 1999-10-15, NP
1999, 2000-10-15, NP
2000, 2001-10-15, NP
2001, 2002-10-15, TP
2002, 2003-10-15, RU
2003, 2004-10-15, NP
2004, 2005-10-15, TP
2005, 2006-10-15, NP
2006, 2007-10-15, TP
2007, 2008-10-15, TP
2008, 2009-10-15, TP
2009, 2010-10-15, TP
2010, 2011-10-15, TP
2011, 2012-10-15, TP
2012, 2013-10-15, TP
2013, 2014-10-15, TP
2014, 2015-10-15, TP
2015, 2016-10-15, TP
